departure,arrival,time_of_year,price
BOI,BUR,2026.5,161.62260000000023
BOI,LAX,2026.5,236.60970000000023
BOI,LGB,2026.5,188.51039999999995
BOI,ONT,2026.5,234.65709999999987
BOI,SNA,2026.5,183.5279000000003
BOS,DAL,2026.5,208.82129999999987
BOS,DFW,2026.5,276.2225999999997
MHT,DAL,2026.5,266.02169999999967
MHT,DFW,2026.5,400.0388999999999
PVD,DAL,2026.5,247.62199999999967
PVD,DFW,2026.5,331.0307999999998
BOS,PIT,2026.5,198.5289
MHT,PIT,2026.5,254.13440000000008
PVD,PIT,2026.5,152.12980000000013
BOS,DEN,2026.5,255.35530000000008
MHT,DEN,2026.5,298.71159999999946
PVD,DEN,2026.5,294.8261999999996
BOS,PHX,2026.5,291.9974
MHT,PHX,2026.5,326.16830000000044
PVD,PHX,2026.5,329.4918999999993
BOS,SEA,2026.5,305.6532999999999
MHT,SEA,2026.5,359.4677999999999
PVD,SEA,2026.5,349.0946999999999
BOS,CAK,2026.5,236.95279999999997
BOS,CLE,2026.5,191.06110000000012
MHT,CAK,2026.5,328.3080000000001
MHT,CLE,2026.5,265.45729999999986
PVD,CAK,2026.5,253.6410999999997
PVD,CLE,2026.5,248.3007
BOS,BNA,2026.5,209.98349999999985
MHT,BNA,2026.5,270.4954000000004
PVD,BNA,2026.5,206.0730999999999
BOS,BUF,2026.5,167.65869999999987
MHT,BUF,2026.5,254.7631000000001
PVD,BUF,2026.5,225.2119999999999
BOS,BZN,2026.5,370.9162999999998
MHT,BZN,2026.5,328.6487000000003
PVD,BZN,2026.5,390.0848999999996
BOS,BWI,2026.5,153.68210000000008
BOS,DCA,2026.5,168.53380000000007
BOS,IAD,2026.5,179.5697999999997
MHT,BWI,2026.5,215.27270000000016
MHT,DCA,2026.5,260.5628000000001
MHT,IAD,2026.5,319.18419999999946
PVD,BWI,2026.5,201.9885
PVD,DCA,2026.5,195.1321
PVD,IAD,2026.5,277.9478000000004
BOS,MDW,2026.5,158.66470000000004
BOS,ORD,2026.5,200.98199999999983
MHT,MDW,2026.5,236.11989999999977
MHT,ORD,2026.5,280.0214999999999
PVD,MDW,2026.5,196.7377
PVD,ORD,2026.5,298.13789999999995
BOS,CHS,2026.5,221.5375
MHT,CHS,2026.5,255.6715000000002
PVD,CHS,2026.5,141.7871000000003
BOS,CLT,2026.5,199.4844000000001
